what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004238985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1583004239012
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1583004246307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004249093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004251291
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1583004251297
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583004255222
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1583004264389
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583004278490
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583004316882
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583004317025
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583004333068
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1583004350556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004353493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004354854
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1583004354861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1583004354861
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583004354862
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583004385251
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583004404286
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583004457118
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583004465459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004472227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004513712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004525961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004527084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004533786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004538098
executed,command,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui.targetBuildLastCommand",1583004538108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004565005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004642087
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583004647665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004744098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1583004744135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004924577
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583004926364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004930626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004937858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004942162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004943759
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583004951484
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583004957598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004960459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004963195
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583004965586
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583004967862
closed,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583004967863
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583004969645
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583004969731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004977931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1583004977969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004988100
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583004989039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583004992996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005001632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005005610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005009151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005107621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005109050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005681319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005693133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005699327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005894926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005900104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005905503
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583005905610
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583005905726
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583005907006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005912185
